major,url,coursedepartment,coursemodeofstudy,education_background
English (1550-1700) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-english-1550-1700,Faculty of English Language and Literature,        Full time  ,        9 months  
English (1700-1830) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-english-1700-1830,Faculty of English Language and Literature,        Full time  ,        9 months  
English (1830-1914) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-english-1830-1914,Faculty of English Language and Literature,        Full time  ,        9 months  
English (1900-Present) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-english-1900-present,Faculty of English Language and Literature,        Full time  ,        9 months  
English (​650-1550) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-english-650-1550,Faculty of English Language and Literature,        Full time  ,        9 months  
English and American Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-english-and-american-studies,Faculty of English Language and Literature,        Full time  ,        9 months  
English Local History DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-english-local-history,Department for Continuing Education,        Part time  ,        4-6 years  
English Local History MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-english-local-history,Department for Continuing Education,        Part time  ,        2 years  
English Studies (Medieval Period) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-english-studies-medieval-period,Faculty of English Language and Literature,        Full time  ,        21 months  
Enhanced Cognitive Behavioural Therapy PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-enhanced-cognitive-behavioural-therapy,Department for Continuing Education,        Part time  ,        Up to 1 year  
Environmental Change and Management MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-environmental-change-and-management,School of Geography and the Environment,        Full time  ,        2 years  
Environmental Change and Management MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-environmental-change-and-management,School of Geography and the Environment,        Full time  ,        1 year  
Environmental Research NERC DTP,https://www.ox.ac.uk/admissions/graduate/courses/environmental-research,Environmental Research Doctoral Training Partnership,        Full time  ,        4 years  
Evidence Based Health Care (Medical Statistics) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-evidence-based-health-care-medical-statistics,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        2-4 years  
Evidence Based Health Care (Systematic Reviews) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-evidence-based-health-care-systematic-reviews,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        2-4 years  
Evidence-Based Health Care DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-evidence-based-health-care,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        4-8 years  
Evidence-Based Health Care MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-evidence-based-health-care,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        2-4 years  
Evidence-Based Social Intervention and Policy Evaluation MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-evidence-based-social-intervention-and-policy-evaluation,Department of Social Policy and Intervention,        Full time  ,        21 months  
Evidence-Based Social Intervention and Policy Evaluation MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-evidence-based-social-intervention-and-policy-evaluation,Department of Social Policy and Intervention,        Full time  ,        1 year  
Executive MBA EMBA,https://www.ox.ac.uk/admissions/graduate/courses/executive-mba,Saïd Business School,        Part time  ,        24 or 26 months  
Experimental and Translational Therapeutics MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-experimental-and-translational-therapeutics,"Department for Continuing Education, Department of Oncology",        Part time  ,        2-4 years  
Experimental Psychology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-experimental-psychology,Department of Experimental Psychology,        Full time  ,        3-4 years  
